goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay05Part1-28      	   17476	     69920 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   21517	     54742 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   20305	     68168 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   23392	     56374 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part1-28      	   21007	     61373 ns/op	   38128 B/op	     934 allocs/op
BenchmarkDay05Part2-28      	    3200	    372894 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    6421	    351636 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    4248	    377236 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    5008	    451439 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    2613	    463315 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    3914	    400335 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    6234	    365391 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    3133	    376875 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    2787	    398910 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay05Part2-28      	    5742	    411184 ns/op	  249528 B/op	    8266 allocs/op
BenchmarkDay06Part1-28      	75221725	        15.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75396979	        15.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75897780	        15.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75399778	        15.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75320246	        15.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75319580	        15.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	75738067	        15.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	76228454	        15.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	71125260	        15.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part1-28      	74951248	        15.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	286284595	         4.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	286090526	         4.184 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	287005717	         4.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	287305796	         4.178 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	285272512	         4.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	286964518	         4.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	287116406	         4.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	287100278	         4.182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	287284412	         4.182 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay06Part2-28      	284791954	         4.189 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9805	    111170 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9817	    111397 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9855	    110848 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9795	    111096 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9841	    110930 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9816	    110944 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9690	    111041 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9847	    110985 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9900	    110741 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part1-28      	    9753	    110625 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8760	    126665 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8642	    126790 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8509	    127069 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8703	    127197 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8694	    126575 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8490	    126908 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8590	    126708 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8619	    127327 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8706	    126718 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8673	    126716 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay08Part1-28      	    4023	    254782 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4758	    259093 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4402	    264789 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4711	    266556 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4382	    259419 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4664	    258498 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4485	    257060 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4564	    265928 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    3985	    267196 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4377	    266656 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part2-28      	     898	   1338533 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     889	   1336855 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     871	   1341252 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     895	   1336679 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     895	   1333565 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     890	   1339897 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     896	   1337795 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     898	   1335544 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     896	   1335468 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     900	   1334626 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    114016 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    139282 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    8371	    144278 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10070	    135040 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    128731 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    9292	    116010 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    152660 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    8479	    148491 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   11258	    104012 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    114214 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V2Part1-28    	   31776	     37642 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31812	     37646 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31639	     37902 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31866	     37589 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31940	     37859 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31236	     37739 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31668	     37607 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31965	     37507 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31910	     37490 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32041	     37554 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31638	     37646 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31873	     37626 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32071	     37570 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31509	     37787 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31666	     37624 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31273	     37754 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31702	     37651 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31887	     37590 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31946	     37448 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   31810	     37645 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31101	     38412 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   30952	     38565 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   30943	     38421 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31123	     38529 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   30904	     38516 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   30972	     38568 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31224	     38626 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31297	     38519 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31004	     38527 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part2-28      	   31287	     38307 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1127812	      1064 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1032 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1064 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1072 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1111 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1018 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1037 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1057 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1027 ns/op	       0 B/op	       0 allocs/op
BenchmarkOpposite-28        	 1000000	      1105 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay10Part1V1-28    	   12957	     87299 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   12423	     93597 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   12026	     97965 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   10000	    103651 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   12925	     94248 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   12891	     95540 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   10000	    102945 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   12732	     91239 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   10000	    105267 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V1-28    	   10000	    106099 ns/op	   48504 B/op	     153 allocs/op
BenchmarkDay10Part1V2-28    	   16806	     70664 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17044	     70169 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17050	     70131 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17140	     69970 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17054	     70897 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17109	     70155 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17168	     70055 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17173	     69754 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17118	     70122 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1V2-28    	   17126	     70099 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17152	     70043 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17223	     69870 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17062	     70404 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17121	     69916 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17086	     70257 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17166	     69801 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17127	     70381 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17071	     70325 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   17035	     70359 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part1-28      	   16825	     70729 ns/op	    3792 B/op	       5 allocs/op
BenchmarkDay10Part2-28      	       8	 139580975 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 135979835 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       7	 146317931 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 141610854 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 138651935 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 135933974 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 139779316 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 135886990 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       8	 139464361 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay10Part2-28      	       7	 145216886 ns/op	 1056976 B/op	      16 allocs/op
BenchmarkDay11Part1-28      	     303	   3945171 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     300	   3982316 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     301	   3961906 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     297	   3984163 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     301	   3967812 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     302	   3958218 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     301	   3955560 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     300	   3983193 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     303	   3944645 ns/op	   16320 B/op	       8 allocs/op
BenchmarkDay11Part1-28      	     301	   3957394 ns/op	   16320 B/op	       8 allocs/op
