goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay07Part2-28      	    8930	    123267 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8856	    122582 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8911	    123203 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8644	    124842 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    9742	    123256 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8946	    122719 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8982	    123165 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8850	    122786 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay07Part2-28      	    8904	    123228 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay08Part1-28      	    4460	    271380 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4137	    265993 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4314	    270372 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4617	    267247 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4614	    269751 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4496	    274678 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4596	    272793 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    3877	    271221 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4164	    279751 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part1-28      	    4011	    264405 ns/op	   57432 B/op	       4 allocs/op
BenchmarkDay08Part2-28      	     884	   1366045 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     871	   1354638 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     886	   1347601 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     876	   1350804 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     883	   1368013 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     889	   1363174 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     812	   1377991 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     878	   1353151 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     877	   1353678 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay08Part2-28      	     840	   1371695 ns/op	   57576 B/op	       6 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    115629 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    136963 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    9698	    145464 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    9825	    129322 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    121273 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	   10000	    131367 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    7191	    165032 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    8310	    151496 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    7959	    139530 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V1Part1-28    	    8136	    146781 ns/op	   70400 B/op	     200 allocs/op
BenchmarkDay09V2Part1-28    	   31904	     37195 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31705	     37388 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32174	     37191 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32718	     37379 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32472	     37168 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   31808	     37181 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32571	     36835 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32474	     36914 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32623	     36987 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09V2Part1-28    	   32528	     36682 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay09Part1-28      	   32524	     37321 ns/op	       0 B/op	       0 allocs/op
